,Application_Number,Trade_Name,Sponsor_Name,Expiration,Patent,Action,Date,Date_Withdrawn,Description,Ingredients,Number,Petitioner,Sponsor_When_Withdrawn,Address,City,CountryProvince,License_No.,Site_Name,State,Zip_Code
50,011-241,Promazine HCl Injectable,Zoetis Inc.,07/17/2016,6255308,Approved,12/18/1998,07/15/1996,"Request permission to file an ANADA for a generic new animal drug ivermectin/pyrantel which differs from the pioneer product, Heartgard™ Plus (ivermectin/pyrantel), Merial Limited, NADA 140-971 by the following characteristic: Ivermectin/pyrantel generic is a compressed chewable tablet and Heartgard™ Plus is an ‘extruded’ chewable tablet.",Protokylol Hydrochloride,98P-0862/CP1,"IVX Animal Health, Inc.","Bayer HealthCare LLC, Animal Health Division","424 15th Street, SE",Demotte,United States,500-467,"Belstra Milling Co., Inc.",IN,46310
51,011-299,Parvex® Suspension,Zoetis Inc.,07/17/2016,6255308,Filed,10/21/1998,07/15/1996,"Request permission to file an ANADA for a generic new animal drug ivermectin/pyrantel which differs from the pioneer product, Heartgard™ Plus (ivermectin/pyrantel), Merial Limited, NADA 140-971 by the following characteristic: Ivermectin/pyrantel generic is a compressed chewable tablet and Heartgard™ Plus is an ‘extruded’ chewable tablet.",Triamcinolone,98P-0927/CP1,Heska Corporation,"Bayer HealthCare LLC, Animal Health Division",1716 Detroit St,Ellsworth,United States,501-628,"Best Veterinary Solutions, Inc.",IA,50075
52,011-315,"Neomix® 325 Soluble Powder, Neomix® AG 325 Soluble Powder",Phibro Animal Health Corp.,07/17/2016,6448252,Approved,12/18/1998,07/31/1995,"Request permission to file an ANADA for a generic new animal drug ivermectin/pyrantel which differs from the pioneer product, Heartgard™ Plus (ivermectin/pyrantel), Merial Limited, NADA 140-971 by the following characteristic: Ivermectin/pyrantel generic is a compressed chewable tablet and Heartgard™ Plus is an ‘extruded’ chewable tablet.",Nitrofurantoin,98P-0927/CP1,Heska Corporation,"Proctor & Gamble Pharmaceuticals, Inc.",416 Mathews Street,Mankato,United States,500-474,"Big Gain, Inc.",MN,56001
53,011-403,Medrol® Tablets,Zoetis Inc.,07/17/2016,5747476,Approved,10/30/1998,07/31/1989,"Request permission to file an ANADA for a generic new animal drug clindamycin hydrochloride which differs from the pioneer product, Antirobe® Capsules, Pharmacia & Upjohn Co., NADA 120-161, by the following characteristics: Clindamycin hydrochloride generic is a tablet and Antirobe® is a capsule.",Ronnel,98P-0580/CP1,"Delmarva Laboratories, Inc.","Mallinckrodt Veterinary, Inc.",1000 Main Street,Atchison,United States,500-181,"Blair Milling and Elevator Co., Inc.",KS,66002
54,011-427,Synovex® H,Zoetis Inc.,02/16/2021,6514945,Filed,11/23/1998,07/31/1989,"Request permission to file an ANADA for a generic new animal drug trimethoprim/sulfadiazine which differs from the listed product, trimethoprim/sulfadiazine (Uniprim), Macleod Pharmaceuticals, Inc., ANADA 200-033 by the following characteristic: Trimethoprim/sulfadiazine generic differs in dosage form from the listed product.","Aromatic Petroleum Derivatives, Ronnel",98P-1037/CP1,"IVX Animal Health, Inc.","Mallinckrodt Veterinary, Inc.",9407 W County Rd 750 N,Carthage,United States,501-673,"Blue River Research Services, LLC",IN,46115
55,011-482,"Vetame Injectable, Vetame Tablets",Zoetis Inc.,11/18/2019,6329345,Approved,03/03/1999,07/15/1996,"Request permission to file an ANADA for a generic new animal drug trimethoprim/sulfadiazine which differs from the listed product, trimethoprim/sulfadiazine (Uniprim), Macleod Pharmaceuticals, Inc., ANADA 200-033 by the following characteristic: Trimethoprim/sulfadiazine generic differs in dosage form from the listed product.","Procaine Hydrochloride, Triamcinolone",98P-1037/CP1,"IVX Animal Health, Inc.","Bayer HealthCare LLC, Animal Health Division",2201 Ridgeway Road,Parma,United States,501-335,"Boise Valley Feeders, LLC",ID,83660
56,011-531,Dizan Tablets,Cronus Pharma Specialities India Private Limited,11/28/2020,6861412,Filed,12/17/1998,12/22/1995,"Request permission to file an ANADA for a generic new animal drug propofol which differs from the pioneer product, propofol (Rapinovet®) Schering-Plough Animal Health Corp., NADA 141-070, by the following characteristics: Propofol generic differs in concentration and the addition of a preservative from the pioneer product.",Prednisolone Acetate,98P-1196/CP1,"IVX Animal Health, Inc.","Akorn, Inc.","Rt. 1, Box 76D",Farwell,United States,500-750,"Bovina Feeders, Inc.",TX,79235
57,011-575,Butazolidin® Injectable 20%,"Intervet, Inc.",05/29/2018,6936592,Denied,03/26/1999,06/06/1994,"Request permission to file an ANADA for a generic new animal drug propofol which differs from the pioneer product, propofol (Rapinovet®) Schering-Plough Animal Health Corp., NADA 141-070, by the following characteristics: Propofol generic differs in concentration and the addition of a preservative from the pioneer product.",Dextran,98P-1196/CP1,"IVX Animal Health, Inc.","Pharmachem Specialties, Inc.",105 Cross Street,Nashville,United States,500-716,Braswell Milling Co.,NC,27856
58,011-582,Vetamox Soluble Powder,Zoetis Inc.,05/29/2018,6777393,Filed,12/29/1998,09/08/2016,"Request permission to file an ANADA for a generic new animal drug phenylbutazone which differs from the pioneer product, phenylbutazone, Anthony Products, Co., NADA 049-187 by the following characteristics: Phenylbutazone generic is a powder dosage form where as the pioneer product is a tablet.","Hygromycin B, Tylosin Phosphate",98P-1231/CP1,"Superior Equine Pharmaceuticals, Inc.","Elanco US, Inc.",4000 E Road 200,Scott City,United States,500-929,Brookover Feedyard Scott City,KS,67871
59,011-590,Parvex® Bolus,Zoetis Inc.,05/24/2019,6420536,Approved,03/03/1999,07/31/1989,"Request permission to file an ANADA for a generic new animal drug phenylbutazone which differs from the pioneer product, phenylbutazone, Anthony Products, Co., NADA 049-187 by the following characteristics: Phenylbutazone generic is a powder dosage form where as the pioneer product is a tablet.",Sulfadimethoxine,98P-1231/CP1,"Superior Equine Pharmaceuticals, Inc.","Mallinckrodt Veterinary, Inc.",31013 North Highway 83,Garden City,United States,500-787,"Brookover Feedyards, Inc. DBA Brookover Feed Yard",KS,67846
60,011-593,Solu-Delta Cortef® Sterile Powder,Zoetis Inc.,05/02/2020,6583274,Filed,03/22/1999,05/14/2001,"Request permission to file an ANADA for a generic new animal drug clorsulon which differs from the pioneer product, ivermectin/clorsulon (Ivomec® F Injection for Cattle), Merial Ltd, NADA 140-833, by the following characteristics: Clorsulon generic is a single ingredient product where as the pioneer product is a combination product.",Tylosin Tartrate,99P-0627/CP1,"IVX Animal Health, Inc.","Elanco Animal Health, A Division of Eli Lilly & Co.",5250 E Brookover Ranch Road ,Garden City,United States,500-786,Brookover Ranch Feedyard,KS,67846
61,011-644,Felac,Zoetis Inc.,05/24/2019,6420536,Denied,05/27/1999,07/15/1996,"Request permission to file an ANADA for a generic new animal drug clorsulon which differs from the pioneer product, ivermectin/clorsulon (Ivomec® F Injection for Cattle), Merial Ltd, NADA 140-833, by the following characteristics: Clorsulon generic is a single ingredient product where as the pioneer product is a combination product.",Disophenol Sodium,99P-0627/CP1,"IVX Animal Health, Inc.","Bayer HealthCare LLC, Animal Health Division","33 PCR 540, Route #7",Perryville,United States,501-038,"Buchheit, Inc.",MO,63775
62,011-674,Dizan Powder,Cronus Pharma Specialities India Private Limited,05/02/2020,6583274,Filed,03/31/1999,07/31/1995,"Request permission to file an ANADA for a generic new animal drug propofol which differs from the pioneer product, propofol (PropoFlo™), Abbott Laboratories, NADA 141-098, by the following characteristics: Propofol generic differs in concentration, dosage form, and inactive ingredients from the pioneer product.","Diperodon Hydrochloride, Nifuroxime, Nitrofurazone",99P-0794/CP1,"Veterinary Research Associates, Inc.","Proctor & Gamble Pharmaceuticals, Inc.",U.S. Hwy 64 East,Buffalo,United States,500-730,"Buffalo Feeders, LLC",OK,73834
63,011-700,Cortaba® Tablets,Zoetis Inc.,02/16/2021,6514945,Denied,11/05/1999,05/03/2023,"Request permission to file an ANADA for a generic new animal drug propofol which differs from the pioneer product, propofol (PropoFlo™), Abbott Laboratories, NADA 141-098, by the following characteristics: Propofol generic differs in concentration, dosage form, and inactive ingredients from the pioneer product.",Chlorothiazide,99P-0794/CP1,"Veterinary Research Associates, Inc.",Boehringer lngelheim Animal Health USA Inc.,Hwy 11 East,Greenbush,United States,500-987,"Burkel Grain Service, Inc.",MN,56726
64,011-703,Neo-Delta-Cortef® with Tetracaine Ointment,Zoetis Inc.,05/29/2018,6777393,Filed,04/02/1999,01/23/1989,"Request permission to file an ANADA for a generic new animal drug miconazole nitrate which differs from the pioneer product, Conofite ® Cream 2%, Schering-Plough Animal Health Corporation, NADA 095-183, by the following characteristics: The generic will provide for a product containing 20 milligrams miconazole nitrate per gram of cream as opposed to the pioneer product which contains 23 milligrams miconazole nitrate per gram of cream.",Trifluomeprazine Maleate,99P-0923/CP1,"Nycomed US, Inc.","Norden Laboratories, Inc.","2.5 mi S US 385, 3/4 mi E",Burlington,United States,500-914,Burlington Feeders - East,CO,80807
65,011-789,Predef® 2x Sterile Aqueous Suspension,Zoetis Inc.,11/18/2019,6329345,Approved,06/28/1999,01/23/1989,"Request permission to file an ANADA for a generic new animal drug miconazole nitrate which differs from the pioneer product, Conofite ® Cream 2%, Schering-Plough Animal Health Corporation, NADA 095-183, by the following characteristics: The generic will provide for a product containing 20 milligrams miconazole nitrate per gram of cream as opposed to the pioneer product which contains 23 milligrams miconazole nitrate per gram of cream.",Triethanolamine Polypeptide,99P-0923/CP1,"Nycomed US, Inc.",Perdue Frederick Co.,43710 County Road S,Burlington,United States,501-512,"Burlington Feeders, Inc.",CO,80807
66,011-877,Jenotone Tablets,"Intervet, Inc.",11/28/2020,6861412,Filed,08/12/1999,05/03/2023,"Request permission to file an ANADA for a generic new animal drug, ketamine hydrochloride, which differs from the pioneer product, Vetalar, Fort Dodge Animal Health, Div. Of AHP Corp., NADA 045-290 by the following characteristic: the generic product will provide a product containing 200 milligrams per milliliter ketamine hydrochloride whereas the pioneer product contains 100 milligrams per milliliter ketamine hydrochloride.",Thiabendazole,99P-2733/CP1,"Wildlife Laboratories, Inc.",Boehringer lngelheim Animal Health USA Inc.,5604 Turkey Hwy,Turkey,United States,501-026,Butterball LLC - Turkey Feed Mill,NC,28393
67,011-879,"Rubrafer, Rubrafer S-100",Zoetis Inc.,05/29/2018,6936592,Denied,11/05/1999,07/25/1997,"Request permission to file an ANADA for a generic new animal drug, ketamine hydrochloride, which differs from the pioneer product, Vetalar, Fort Dodge Animal Health, Div. Of AHP Corp., NADA 045-290 by the following characteristic: the generic product will provide a product containing 200 milligrams per milliliter ketamine hydrochloride whereas the pioneer product contains 100 milligrams per milliliter ketamine hydrochloride.","Folic Acid, Pyridoxine Hydrochloride, Tylosin, Vitamin A, Vitamin B1, Vitamin B2, Vitamin B5, Vitamin D, Vitamin E",99P-2733/CP1,"Wildlife Laboratories, Inc.","Elanco Animal Health, A Division of Eli Lilly & Co.",Hwy 186 South,Alix,United States,500-648,"Butterball, LLC",AR,72820
68,011-885,Azium® Tablets 0.25 mg,"Intervet, Inc.",11/27/2015,6001858,Filed,09/20/1999,09/08/2016,"Request permission to file an ANADA for a generic new animal drug, phenylbutazone, which differs from the pioneer product, Phenylbute ™, Phoenix Scientific Inc., NADA 091-818 by the following characteristic: the proposed generic product will have the dosage form of powder, as opposed to the pioneer product which is a tablet.",Tylosin Phosphate,99P-4167/CP1,"A & G Pharmaceuticals, Inc.","Elanco US, Inc.",3726 Highway 62 W,Yellville,United States,500-545,"Butterball, LLC",AR,72687
69,011-893,Dermathycin Injectable,"Intervet, Inc.",05/12/2015,6232328,Approved,12/07/1999,04/21/2014,"Request permission to file an ANADA for a generic new animal drug, phenylbutazone, which differs from the pioneer product, Phenylbute ™, Phoenix Scientific Inc., NADA 091-818 by the following characteristic: the proposed generic product will have the dosage form of powder, as opposed to the pioneer product which is a tablet.",Hygromycin B,99P-4167/CP1,"A & G Pharmaceuticals, Inc.","Virbac AH, Inc.",6410 Southwest Hallowell,Columbus,United States,500-721,"Butterball, LLC",KS,66725
70,011-901,Azium® Aqueous Suspension Veterinary,"Intervet, Inc.",11/27/2015,6001858,Filed,12/03/1999,09/08/2016,"Request permission to file an ANADA for a generic new animal drug, prednisolone, which differs from the pioneer product, PrednisTab®, Lloyd, Inc., NADA 140-921 by the following characteristics: the proposed generic product will have a dosage form as a palatable chewable tablet as opposed to the pioneer product which is a tablet.","Hygromycin B, Tylosin",99P-5328/CP1,"Tyler Group, Inc","Elanco US, Inc.",1050 Shank Road,Brawley,United States,501-473,"Butterspur Cattle Feeders, Inc. EAST",CA,92227
71,011-948,Hygromix 2.4,Elanco US Inc.,05/12/2015,6232328,Approved,03/21/2000,05/03/2023,"Request permission to file an ANADA for a generic new animal drug, prednisolone, which differs from the pioneer product, PrednisTab®, Lloyd, Inc., NADA 140-921 by the following characteristics: the proposed generic product will have a dosage form as a palatable chewable tablet as opposed to the pioneer product which is a tablet.",Thiabendazole,99P-5328/CP1,"Tyler Group, Inc",Boehringer lngelheim Animal Health USA Inc.,15 miles N on US 287,Cactus,United States,500-886,Cactus Feedyard,TX,79013
72,011-953,"Biosol® Sterile Solution, Biosol® Sterile Solution 50 mg",Zoetis Inc.,04/30/2030,8580772,Filed,12/03/1999,06/28/1990,"Request permission to file an ANADA for a generic new animal drug, furosemide, which differs from the pioneer product, Lasix®, Hoechst Roussel Vet, NADA 034-621 by the following characteristics: the proposed generic product will have a dosage form as a palatable chewable tablet as opposed to the pioneer product which is a tablet.",Ronnel,99P-5329/CP1,"Tyler Group, Inc.","ADM Alliance Nutrition, Inc.",410 North Holly Street,Hammond,United States,500-976,"Cal-Maine Foods, Inc., Feed Division",LA,70404
73,012-087,Bactrovet Tablets 250 mg,"Intervet, Inc.",12/11/2012,4900735,Approved,03/20/2000,05/17/2010,"Request permission to file an ANADA for a generic new animal drug, furosemide, which differs from the pioneer product, Lasix®, Hoechst Roussel Vet, NADA 034-621 by the following characteristics: the proposed generic product will have a dosage form as a palatable chewable tablet as opposed to the pioneer product which is a tablet.",Novobiocin Sodium,99P-5329/CP1,"Tyler Group, Inc.","Pharmacia & Upjohn Co., a Division of Pfizer, Inc.",Old Hwy 80 West,Edwards,United States,500-975,"Cal-Maine Foods, Inc., Feed Division",MS,39066
74,012-123,"Gallimycin® Injection, Gallimycin®-100",Bimeda Animal Health Limited,06/06/2016,5731028,Filed,12/03/1999,05/12/1998,"Request permission to file an ANADA for a generic new animal drug, enalapril maleate, which differs from the pioneer product, Enacard® Tablets, Merial Ltd., NADA 141-015 by the following characteristics: the proposed generic product will have a dosage form as a palatable chewable tablet as opposed to the pioneer product which is a tablet.",Oxytetracycline Hydrochloride,99P-5330/CP1,"Tyler Group, Inc.","Pfizer, Inc.",Walton Street,Bethune,United States,500-972,"Cal-Maine Foods, Inc., Feed Division",SC,29009
